controllers/analytics.controller.ts(18,51): error TS18046: 'err' is of type 'unknown'.
controllers/analytics.controller.ts(29,51): error TS18046: 'err' is of type 'unknown'.
controllers/analytics.controller.ts(41,51): error TS18046: 'err' is of type 'unknown'.
controllers/analytics.controller.ts(55,51): error TS18046: 'err' is of type 'unknown'.
controllers/analytics.controller.ts(65,51): error TS18046: 'err' is of type 'unknown'.
controllers/analytics.controller.ts(77,51): error TS18046: 'err' is of type 'unknown'.
controllers/analytics.controller.ts(93,14): error TS18046: 'err' is of type 'unknown'.
controllers/auth.controller.ts(55,57): error TS18047: 'result' is possibly 'null'.
controllers/auth.controller.ts(56,20): error TS18047: 'result' is possibly 'null'.
controllers/auth.controller.ts(58,13): error TS18047: 'result' is possibly 'null'.
controllers/auth.controller.ts(59,19): error TS18047: 'result' is possibly 'null'.
controllers/auth.controller.ts(59,40): error TS2339: Property 'Username' does not exist on type '{}'.
controllers/auth.controller.ts(59,52): error TS18047: 'result' is possibly 'null'.
controllers/auth.controller.ts(60,19): error TS18047: 'result' is possibly 'null'.
controllers/auth.controller.ts(60,40): error TS2339: Property 'FullName' does not exist on type '{}'.
controllers/auth.controller.ts(60,52): error TS18047: 'result' is possibly 'null'.
controllers/auth.controller.ts(61,19): error TS18047: 'result' is possibly 'null'.
controllers/auth.controller.ts(61,40): error TS2339: Property 'PasswordHash' does not exist on type '{}'.
controllers/auth.controller.ts(62,15): error TS18047: 'result' is possibly 'null'.
controllers/auth.controller.ts(67,9): error TS18046: 'err' is of type 'unknown'.
controllers/auth.controller.ts(73,9): error TS18046: 'err' is of type 'unknown'.
controllers/auth.controller.ts(79,9): error TS18046: 'err' is of type 'unknown'.
controllers/auth.controller.ts(138,19): error TS18046: 'err' is of type 'unknown'.
controllers/crm.controller.ts(39,9): error TS18046: 'err' is of type 'unknown'.
controllers/crm.controller.ts(48,14): error TS18046: 'err' is of type 'unknown'.
controllers/crm.controller.ts(66,14): error TS18046: 'err' is of type 'unknown'.
controllers/crm.controller.ts(91,63): error TS18046: 'err' is of type 'unknown'.
controllers/crm.controller.ts(115,9): error TS18046: 'err' is of type 'unknown'.
controllers/crm.controller.ts(122,64): error TS18046: 'err' is of type 'unknown'.
controllers/crm.controller.ts(145,64): error TS18046: 'err' is of type 'unknown'.
controllers/inventory.controller.ts(36,14): error TS18046: 'err' is of type 'unknown'.
controllers/inventory.controller.ts(54,14): error TS18046: 'err' is of type 'unknown'.
controllers/inventory.controller.ts(81,14): error TS18046: 'err' is of type 'unknown'.
controllers/inventory.controller.ts(108,21): error TS2339: Property 'CategoryName' does not exist on type '{}'.
controllers/inventory.controller.ts(109,19): error TS2339: Property 'CategoryName' does not exist on type '{}'.
controllers/inventory.controller.ts(116,21): error TS2339: Property 'Description' does not exist on type '{}'.
controllers/inventory.controller.ts(117,19): error TS2339: Property 'Description' does not exist on type '{}'.
controllers/inventory.controller.ts(135,25): error TS2339: Property 'CategoryName' does not exist on type '{}'.
controllers/inventory.controller.ts(136,36): error TS2339: Property 'Description' does not exist on type '{}'.
controllers/inventory.controller.ts(144,14): error TS18046: 'err' is of type 'unknown'.
controllers/inventory.controller.ts(171,14): error TS18046: 'err' is of type 'unknown'.
controllers/porderDetail.controller.ts(24,8): error TS7006: Parameter 'a' implicitly has an 'any' type.
controllers/porderDetail.controller.ts(24,11): error TS7006: Parameter 'b' implicitly has an 'any' type.
controllers/porderDetail.controller.ts(33,37): error TS18046: 'error' is of type 'unknown'.
controllers/porderDetail.controller.ts(49,37): error TS18046: 'error' is of type 'unknown'.
controllers/porderDetail.controller.ts(65,22): error TS7006: Parameter 'pod' implicitly has an 'any' type.
controllers/porderDetail.controller.ts(81,37): error TS18046: 'error' is of type 'unknown'.
controllers/procurement.controller.ts(61,14): error TS18046: 'error' is of type 'unknown'.
controllers/procurement.controller.ts(89,14): error TS18046: 'error' is of type 'unknown'.
controllers/procurement.controller.ts(151,14): error TS18046: 'error' is of type 'unknown'.
controllers/product.controller.ts(20,51): error TS18046: 'err' is of type 'unknown'.
controllers/product.controller.ts(34,51): error TS18046: 'err' is of type 'unknown'.
controllers/product.controller.ts(45,51): error TS18046: 'err' is of type 'unknown'.
controllers/product.controller.ts(56,51): error TS18046: 'err' is of type 'unknown'.
controllers/product.controller.ts(66,51): error TS18046: 'err' is of type 'unknown'.
controllers/sales.controller.ts(40,14): error TS18046: 'err' is of type 'unknown'.
controllers/sales.controller.ts(59,51): error TS18046: 'err' is of type 'unknown'.
controllers/sales.controller.ts(76,51): error TS18046: 'err' is of type 'unknown'.
controllers/sales.controller.ts(97,51): error TS18046: 'err' is of type 'unknown'.
controllers/sales.controller.ts(117,51): error TS18046: 'err' is of type 'unknown'.
controllers/stockbatch.controller.ts(25,51): error TS18046: 'err' is of type 'unknown'.
controllers/stockbatch.controller.ts(41,51): error TS18046: 'err' is of type 'unknown'.
controllers/stockbatch.controller.ts(51,51): error TS18046: 'err' is of type 'unknown'.
controllers/stockbatch.controller.ts(70,51): error TS18046: 'err' is of type 'unknown'.
controllers/stockbatch.controller.ts(85,51): error TS18046: 'err' is of type 'unknown'.
controllers/stockbatch.controller.ts(102,51): error TS18046: 'err' is of type 'unknown'.
controllers/stockbatch.controller.ts(119,51): error TS18046: 'err' is of type 'unknown'.
controllers/stockbatch.controller.ts(143,51): error TS18046: 'err' is of type 'unknown'.
controllers/stockbatch.controller.ts(163,14): error TS18046: 'err' is of type 'unknown'.
controllers/stockbatch.controller.ts(177,51): error TS18046: 'err' is of type 'unknown'.
controllers/stockbatch.controller.ts(191,155): error TS2339: Property 'QuantityOnHand' does not exist on type '{ deductions: { batchId: any; quantity: number; }[]; reorderResult: { status: string; productId: any; totalStock: any; reorderLevel: any; message: string; purchaseOrderId?: undefined; purchaseOrderDetailID?: undefined; supplierId?: undefined; finalQuantity?: undefined; } | { ...; } | { ...; } | { ...; }; }'.
controllers/stockbatch.controller.ts(193,33): error TS2339: Property 'QuantityOnHand' does not exist on type '{ deductions: { batchId: any; quantity: number; }[]; reorderResult: { status: string; productId: any; totalStock: any; reorderLevel: any; message: string; purchaseOrderId?: undefined; purchaseOrderDetailID?: undefined; supplierId?: undefined; finalQuantity?: undefined; } | { ...; } | { ...; } | { ...; }; }'.
controllers/stockbatch.controller.ts(197,51): error TS18046: 'err' is of type 'unknown'.
middleware/inputValidation.ts(26,43): error TS2698: Spread types may only be created from object types.
services/analytics.service.ts(11,11): error TS2339: Property 'SaleDate' does not exist on type '{}'.
